datetime,symbol,exch,spot,bid,ask,hv_cc_30D,hv_zh_30D,catm_30D,patm_30D,vix_30D,mrtn_30D,skew_30D,q_min,q_max,gex,vex,gamma_flip,hv_zh_5D,hv_cc_5D,lamda,mu_j,sig_j,q,r,volume,volume10D,open,high,low,hv_hl_30D,hv_hl_5D
2023-02-27 10:00:00,XOM,NYSE,110.11,110.14,110.08,0.2891277373683317,0.4279152140631056,0.2872146735589784,0.2537705718588675,0.2756180823234499,0.2128431068834971,108.14089627070136,0.2414862080534912,0.3112566652948202,10.939141529930096,-0.369273862735683,108.49323607708318,0.2505281208209048,0.1140995344287543,17.181818182038278,-0.0152471221742939,0.03933581655507,0.032054175,0.047,1562317,15138330,110.8,111.1,109.97,0.5738518300681051,0.282978497917321
2023-02-28 10:11:00,XOM,NYSE,110.22,110.18,110.26,0.2896890281957831,0.427779079184401,0.2903848375215204,0.2629340157553083,0.2771538702183038,0.2079895025333119,108.95931085880036,0.2466385366527724,0.3213388223295769,11.45394701974437,-0.324259020428593,108.30380474121544,0.2417256169641604,0.1222563848195437,20.093269067697232,-0.0071444087184519,0.0409677426559927,0.032112166,0.0473,1953969,13818230,111.24,111.42,109.875,0.5742660815000921,0.2825828824640106
2023-02-28 15:39:00,XOM,NYSE,109.91,109.91,109.91,0.2896890281957831,0.427779079184401,0.2799087745665793,0.2611925997522414,0.2726002651781065,0.2079895040397114,108.71875375399532,0.2379751075339668,0.315567698354943,6.241481733356424,-0.3110062468102853,107.84989903946877,0.2417256169641604,0.1222563848195437,15.272727272727272,-0.0071444085788289,0.0450580898279759,0.032112166,0.0471,9945754,13818230,111.24,111.42,109.22,0.5742660815000921,0.2825828824640106
2023-02-28 16:15:00,XOM,NYSE,109.8,109.8,109.8,0.2896890281957831,0.427779079184401,0.2804217133911212,0.260951928346131,0.2742805908512434,0.2079895111607392,108.008073078778,0.2389066229648115,0.3181216925445861,6.322393233399318,-0.3135080281603411,108.22295045727256,0.2417256169641604,0.1222563848195437,15.272727272727272,-0.0071444084534747,0.0457797083569347,0.032112166,0.0471,12877814,13818230,111.24,111.42,109.22,0.5742660815000921,0.2825828824640106
2023-03-01 10:00:00,XOM,NYSE,110.475,110.45,110.5,0.2896610772998984,0.42935280115427,0.2963101071521705,0.2541728694807142,0.276715933587531,0.2051985829544993,109.88814762100796,0.2377320209629929,0.3254754774709847,10.494516657262514,-0.3405787214375547,108.45045491876613,0.2503249064014484,0.1219051443211139,13.36363639920622,0.0011390668493741,0.051151663435185,0.032299154,0.0472499999999999,2495158,14174850,109.31,110.87,109.24,0.5758931271079856,0.2981500816556889
2023-03-01 15:06:00,XOM,NYSE,110.965,110.93,111.0,0.2896610772998984,0.42935280115427,0.2835973104787983,0.2590561546422106,0.275780576883026,0.2520677410930013,107.5933366045697,0.2518657711393734,0.2908782864353477,21.66377904913321,-0.3281640644886609,107.5420323146398,0.2503249064014484,0.1219051443211139,13.364519279864078,0.0011390668493741,0.0267666309923819,0.032299154,0.0472499999999999,8662687,14174850,109.31,111.85,109.24,0.5758931271079856,0.2981500816556889
2023-03-01 16:15:00,XOM,NYSE,110.95,110.95,110.95,0.2896610772998984,0.42935280115427,0.2803343686387863,0.2604334787496356,0.2748852248010762,0.2088520746653152,107.6735325660551,0.2360258784264928,0.3136447512825927,24.10016945388879,-0.3137416195896164,106.7724438523872,0.2503249064014484,0.1219051443211139,13.36363638236071,0.0011390668493741,0.0480817477470006,0.032299154,0.0472499999999999,11511294,14174850,109.31,111.85,109.24,0.5758931271079856,0.2981500816556889
2023-03-02 10:00:00,XOM,NYSE,110.675,110.67,110.68,0.2845102038647559,0.4284187095700556,0.2862581950347546,0.2521743965411551,0.2740957246938391,0.2545245631389777,110.30450505169397,0.2544773378456239,0.2943594352936292,21.821924276855835,-0.3239386175806997,107.70077342054503,0.2470526217970049,0.101317197112718,13.363636364095855,0.0009951901554228,0.0267725556362029,0.032013707,0.0473,1078356,14288540,110.615,110.9596,110.17,0.5721112455437046,0.3023725685828728
2023-03-02 14:00:00,XOM,NYSE,110.715,110.7,110.73,0.2845102038647559,0.4284187095700556,0.2886171878216643,0.2438653191874904,0.265571604027972,0.250675739073301,110.22871810924195,0.2503893972529578,0.289050975549491,20.04622962511735,-0.3303681178162844,108.16616058381058,0.2470526217970049,0.101317197112718,13.36363636409066,0.0009951901554228,0.0267725556363006,0.032013707,0.04723,5307006,14288540,110.615,111.585,110.17,0.5721112455437046,0.3023725685828728
2023-03-02 16:15:00,XOM,NYSE,111.41,111.41,111.41,0.2859983677859066,0.4273580110525054,0.2698311929618383,0.2587689515142831,0.262321397508528,0.2087709008645046,111.02303812585048,0.2327546417328335,0.3059592050571088,30.070664129886325,-0.2918753604285606,107.65535976799929,0.2326239711859203,0.1239323850694559,13.363636363636363,0.0009604812937708,0.0455243197608424,0.032013707,0.04723,8531854,14288540,110.615,111.695,110.17,0.5696393586381641,0.2729386378367544
2023-03-03 10:25:00,XOM,NYSE,111.435,111.44,111.43,0.2859983677859066,0.4273580110525054,0.2734910508414566,0.2559414906382583,0.2655859240652058,0.2053258389461076,109.94844896233228,0.2340836155395888,0.3090580148142411,38.9984551035216,-0.4854261753183883,107.4281797723153,0.2326239711859203,0.1239323850694559,13.36363636740814,0.0009604813067831,0.0475863447551277,0.031867143,0.04718,2597731,13955450,110.05,111.68,109.95,0.5696393586381641,0.2729386378367544
2023-03-06 10:00:00,XOM,NYSE,112.425,112.39,112.46,0.2882316424448527,0.4288273259579259,0.262106332761356,0.253760760226009,0.2547315933925879,0.2040295078003967,110.02951727183915,0.2301171984306889,0.2995847329166731,51.49909571793262,-0.5420381863495343,107.86895925683729,0.2489823567061412,0.1445202816286779,13.363636363636363,0.000700173542728,0.0449867439187959,0.031468842,0.0473,1199667,14119870,111.99,112.62,111.87,0.5751841554416431,0.3477207665363729
